Simulation number,b,max_alpha,D_x,X_0
1,0.5,0.5,0.5,0.5
2,0.5,0.5,0.5,1.0
3,0.5,0.5,0.5,2.0
4,0.5,0.5,1.0,0.5
5,0.5,0.5,1.0,1.0
6,0.5,0.5,1.0,2.0
7,0.5,0.5,2.0,0.5
8,0.5,0.5,2.0,1.0
9,0.5,0.5,2.0,2.0
10,0.5,1.0,0.5,0.5
11,0.5,1.0,0.5,1.0
12,0.5,1.0,0.5,2.0
13,0.5,1.0,1.0,0.5
14,0.5,1.0,1.0,1.0
15,0.5,1.0,1.0,2.0
16,0.5,1.0,2.0,0.5
17,0.5,1.0,2.0,1.0
18,0.5,1.0,2.0,2.0
19,0.5,2.0,0.5,0.5
20,0.5,2.0,0.5,1.0
21,0.5,2.0,0.5,2.0
22,0.5,2.0,1.0,0.5
23,0.5,2.0,1.0,1.0
24,0.5,2.0,1.0,2.0
25,0.5,2.0,2.0,0.5
26,0.5,2.0,2.0,1.0
27,0.5,2.0,2.0,2.0
28,1.0,0.5,0.5,0.5
29,1.0,0.5,0.5,1.0
30,1.0,0.5,0.5,2.0
31,1.0,0.5,1.0,0.5
32,1.0,0.5,1.0,1.0
33,1.0,0.5,1.0,2.0
34,1.0,0.5,2.0,0.5
35,1.0,0.5,2.0,1.0
36,1.0,0.5,2.0,2.0
